Airline ID,Flight Number,Departure Date,Arrival Date,Departure Time,Arrival Time,Booking Code,Passenger Name,Seat Number,Class,Fare,Extras,Loyalty Points,Status,Gate,Terminal,Baggage Claim,Duration (hours),Layovers,Layover Locations,Aircraft Type,Pilot,Cabin Crew,Inflight Entertainment,Meal Option,WiFi Availability,Window Seat,Aisle Seat,Emergency Exit Row,Number of Stops,Reward Program Member,Airline Name,flag_status
5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,20:20:27,03:12:24,Byau,Manii,Aom,First,512.05,No Extras,0,Cancelled,Uz,A,Zqn,4.17,2,Xay,Ppk,Ifgc,Ztnm,No,No Meal,Not Available,False,False,True,0,No,Jetblue Airways,4
14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,13:28:20,03:05:02,Bgjc,Duyzb,Aor,Economy,904.61,Meal,2303,Pending,Yd,B,Bgd,10.88,1,Fqe,Vkk,Cmcg,Iacu,Yes,Vegan,Not Available,True,False,False,0,Yes,Lufthansa,2
18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,21:14:39,18:11:31,Brcg,Petrb,Vfv,Business,868.56,Meal,0,Confirmed,Qi,B,Keb,4.32,1,Fgu,Yhi,Muac,Qycq,Yes,Vegetarian,Available,False,True,False,1,Yes,Emirates,2
16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,22:04:22,06:21:09,Boax,Noyjp,Fof,Economy,672.46,Meal,0,Pending,To,A,Qcc,4.38,2,Xpo,Vck,Jvcd,Fscs,No,No Meal,Not Available,True,True,False,1,Yes,Klm Royal Dutch Airlines,7
6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,16:44:33,08:12:21,Bsez,Hzzxx,Xvy,First,668.34,No Extras,0,Pending,Gi,A,Yse,8.38,0,Itg,Hvz,Glyb,Xknc,No,Non-Vegetarian,Available,True,False,True,0,No,Alaska Airlines,4
14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,12:43:37,05:02:30,Buvg,Untjm,Nun,First,622.34,Extra Baggage,681,Pending,Mi,D,Gov,2.85,2,Lwb,Tfn,Zebd,Dmdf,No,Vegetarian,Available,True,False,False,0,No,Lufthansa,4
8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,16:59:31,02:55:56,Bkav,Sbzen,Tqk,First,267.69,Extra Baggage,0,Pending,El,A,Lmn,7.64,1,Ifm,Oos,Ovsg,Oygq,No,Vegan,Available,False,False,True,1,Yes,Frontier Airlines,2
7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,03:21:53,07:55:52,Bbnj,Xuwuz,Rkt,Economy,634.86,Meal,0,Confirmed,Zi,B,Czk,7.91,0,Crq,Gmy,Fffc,Rlxj,Yes,No Meal,Not Available,True,False,False,1,Yes,Spirit Airlines,4
8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,08:22:14,14:33:16,Bcne,Yxhae,Ith,Economy,620.32,Extra Baggage,870,Pending,Ok,A,Mts,9.03,1,Ycf,Caq,Eyym,Gntc,No,Non-Vegetarian,Not Available,False,False,True,0,No,Frontier Airlines,0
13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,00:54:26,22:54:23,Bqga,Ykhqy,Rqy,Business,590.39,No Extras,0,Cancelled,Pe,B,Ndn,9.29,2,Izq,Lsj,Yzej,Gksl,No,Vegan,Available,True,True,True,2,No,British Airways,7
6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,01:46:48,03:11:03,Bxkf,Jnaeo,Zlv,Economy,814.97,Meal,163,Confirmed,Cx,D,Irb,9.54,1,Vkg,Yyd,Hxqn,Lvmr,No,Vegan,Available,True,True,False,2,Yes,Alaska Airlines,3
18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,04:07:22,12:23:43,Bpnq,Joaxk,Zes,Economy,93.18,No Extras,3523,Cancelled,Am,D,Jit,10.82,0,Kzx,Gdb,Anom,Gges,Yes,Vegan,Not Available,True,True,True,1,Yes,Emirates,7
2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,03:05:36,08:29:20,Bong,Rfbbq,Oyr,First,484.26,Meal,0,Pending,Gi,C,Mau,1.08,1,Noj,Wpy,Phsh,Oxhc,Yes,Vegan,Not Available,True,True,False,1,No,Delta Air Lines,3
8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,00:58:17,04:00:10,Bjsg,Vetnl,Zxd,First,100.9,Meal,154,Cancelled,Ab,A,Hpx,8.54,2,Nqh,Qph,Gelj,Kpgg,No,Vegan,Not Available,True,False,False,2,Yes,Frontier Airlines,4
11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,17:03:35,16:08:39,Boxz,Dirjg,Nnm,Economy,806.0,Meal,0,Cancelled,Eg,B,Uqv,7.6,2,Opw,Luh,Hflu,Rblb,Yes,No Meal,Not Available,True,True,True,1,Yes,Skywest Airlines,5
1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,Bnos,Eozmn,Whm,First,271.37,No Extras,0,Cancelled,Tx,D,Yce,1.41,1,Dit,Huo,Vbfq,Mujq,Yes,Vegetarian,Not Available,False,False,True,1,Yes,American Airline,0
6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,09:39:02,09:33:08,Buzp,Ydfom,Azq,Economy,397.31,Extra Baggage,4066,Cancelled,Dj,B,Ndd,6.16,2,Sou,Rxy,Nchv,Gauy,Yes,Non-Vegetarian,Available,False,False,False,2,No,Alaska Airlines,4
16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,20:46:21,04:09:28,Bbba,Mrqad,Iiz,Economy,361.56,No Extras,0,Pending,Hu,A,Sas,11.6,1,Jlq,Yhu,Mpum,Yvbs,Yes,No Meal,Available,True,True,True,2,No,Klm Royal Dutch Airlines,1
12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,18:54:30,20:37:39,Bpsd,Kysmp,Quk,Economy,940.22,No Extras,0,Confirmed,Nx,B,Exu,6.08,2,Anz,Adi,Mrav,Hnwr,Yes,Vegan,Available,False,False,True,2,No,Air Canada,6
11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,15:45:25,11:16:36,Bckx,Solwh,Npd,Economy,372.06,Extra Baggage,0,Confirmed,Ed,C,Wja,5.29,0,Nvo,Wel,Sbgh,Xnvl,No,Vegetarian,Not Available,True,True,False,2,No,Skywest Airlines,7
10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,13:03:38,23:00:08,Bqew,Vavhe,Njm,Economy,99.17,Extra Baggage,0,Pending,Uy,B,Yrj,3.44,0,Lmv,Tci,Jtix,Idgj,Yes,Non-Vegetarian,Not Available,True,False,True,1,Yes,Allegiant Air,4
3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,09:59:45,16:27:37,Biay,Xaldo,Kdb,Economy,85.7,Extra Baggage,1568,Cancelled,Ol,A,Jnk,10.92,2,Dci,Wxa,Idmc,Sinv,Yes,Non-Vegetarian,Available,True,True,False,1,Yes,United Airlines,5
13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,23:24:15,13:45:44,Bidp,Ijumj,Epb,First,255.52,Extra Baggage,1419,Pending,Xb,B,Srm,1.38,1,Ffk,Kgr,Fszi,Qsfc,No,Non-Vegetarian,Not Available,True,True,False,1,Yes,British Airways,1
3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,14:57:08,11:49:41,Boje,Jnssy,Chy,Business,135.1,Extra Baggage,0,Confirmed,Wv,A,Tjy,8.82,2,Raj,Qxs,Npwm,Dinu,Yes,Vegan,Available,False,False,True,2,No,United Airlines,6
15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,16:45:41,10:03:45,Bpfp,Avvzx,Ywd,Business,804.19,Extra Baggage,0,Cancelled,Vi,B,Hbk,3.74,1,Cyv,Sae,Vqap,Cnbu,Yes,No Meal,Not Available,False,False,False,0,No,Air France,2
16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,15:25:47,00:39:23,Bdvu,Hqwja,Yqr,First,690.75,Extra Baggage,0,Pending,Iq,A,Kam,9.27,2,Ttn,Jkc,Nlsm,Zhdd,No,Non-Vegetarian,Available,True,True,False,2,Yes,Klm Royal Dutch Airlines,5
13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,12:46:22,07:37:16,Bocs,Hebsy,Zne,Business,786.92,Meal,0,Confirmed,Pr,D,Qrw,10.05,0,Fia,Gcn,Ejsk,Gelr,No,No Meal,Available,True,False,True,0,Yes,British Airways,4
17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,23:21:17,09:11:25,Biep,Btwxk,Uex,Business,555.84,Meal,0,Pending,Sx,C,Lrl,7.43,1,Tru,Fjj,Vwjo,Asmv,Yes,No Meal,Available,True,True,True,2,No,Qantas,1
3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,22:08:32,06:22:01,Bchx,Czzih,Jbz,Economy,499.88,Meal,0,Confirmed,Ba,D,Mus,1.11,0,Twc,Pkn,Qvly,Fwul,Yes,Vegan,Available,True,True,False,1,No,United Airlines,7
11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,05:17:55,21:43:22,Bncp,Fnhoz,Ipu,First,393.88,No Extras,0,Pending,Ux,A,Mcl,5.68,1,Dsp,Ntx,Dqmd,Vyij,Yes,No Meal,Available,False,False,False,2,No,Skywest Airlines,0
19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,05:28:46,02:28:16,Bgic,Xcwhv,Gyu,Business,822.8,No Extras,0,Pending,Ly,D,Cnp,4.28,0,Dpo,Auj,Tzdm,Vjzf,No,Vegan,Not Available,False,False,False,2,Yes,Singapore Airlines,4
11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,00:25:55,03:49:45,Bhlq,Pfgmt,Dyh,First,51.68,No Extras,0,Confirmed,Yb,D,Yvg,8.29,2,Qug,Fhd,Glct,Kfqt,No,Vegetarian,Available,True,True,False,2,Yes,Skywest Airlines,7
16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,04:37:39,16:13:05,Bnps,Zzisg,Cdy,Economy,539.74,No Extras,0,Cancelled,Ns,D,Ksh,10.52,1,Yeq,Fcm,Ygoj,Zycg,No,Non-Vegetarian,Available,True,False,True,0,No,Klm Royal Dutch Airlines,2
3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,08:36:06,23:56:04,Bdcm,Pyxgo,Qpw,Business,405.04,No Extras,4757,Pending,Cb,D,Onu,11.02,2,Kwh,Dcl,Dykz,Kvwv,No,Vegan,Available,False,True,True,1,No,United Airlines,6
6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,07:12:03,14:56:45,Biml,Ebbte,Ozo,Business,196.39,Meal,0,Pending,Bk,D,Nzh,3.64,2,Bjm,Kyn,Wkwh,Pvjw,No,Vegan,Not Available,True,True,False,1,No,Alaska Airlines,5
14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,19:03:45,11:00:53,Bzuo,Ldrtk,Szw,Business,726.21,Meal,4586,Pending,Zb,A,Zwu,5.84,1,Kut,Txb,Pfyd,Ohrp,No,Non-Vegetarian,Available,True,True,False,2,Yes,Lufthansa,1
18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,22:17:59,12:04:29,Bccb,Utfmz,Yjk,Economy,304.76,Extra Baggage,650,Cancelled,Ql,A,Wvk,10.68,2,Xis,Igg,Zoln,Ltnt,No,Non-Vegetarian,Not Available,True,False,True,1,Yes,Emirates,6
17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,20:18:34,08:51:43,Bzfy,Weydj,Mla,First,446.81,Meal,4560,Pending,Yl,A,Hke,6.18,0,Utx,Jnz,Nuhj,Qyob,No,No Meal,Not Available,True,True,False,2,No,Qantas,7
4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,07:46:07,19:19:02,Bpwr,Bzhtt,Dsv,Business,325.33,No Extras,0,Confirmed,Qu,D,Oqn,2.56,2,Fgb,Tlc,Pwfy,Etpw,No,Non-Vegetarian,Not Available,True,False,False,0,No,Southwest Airlines,6
15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,06:26:25,21:32:18,Bicw,Citbq,Dem,Business,629.09,No Extras,492,Pending,Ah,A,Zoi,6.25,0,Dbf,Vgu,Dxsw,Isxc,Yes,No Meal,Available,True,True,False,1,Yes,Air France,5
11,9067,2023-07-23 04:14:51,2023-06-26 15:06:22,11:14:52,13:14:30,Bzwp,Axqem,Usp,Business,60.31,No Extras,0,Confirmed,Gg,D,Nyj,7.73,0,Bqc,Yuh,Dwmb,Mlvh,No,Vegan,Not Available,False,True,True,0,No,Skywest Airlines,6
3,4904,2023-04-27 09:38:15,2023-05-22 00:22:54,11:57:07,14:14:39,Bdnd,Hgwnh,Wvy,First,672.92,No Extras,0,Cancelled,Je,A,Opl,10.35,1,Dva,Osj,Vhyl,Qbuq,No,Non-Vegetarian,Available,False,False,False,2,Yes,United Airlines,0
3,4573,2023-12-14 01:53:47,2023-06-08 00:02:09,09:36:34,03:52:30,Brrr,Kcere,Ucu,Economy,442.49,Meal,0,Pending,Tn,D,Ipv,3.38,2,Rax,Hti,Pmhd,Ayfe,Yes,No Meal,Available,False,True,True,1,Yes,United Airlines,6
16,2825,2023-08-03 22:37:30,2023-11-01 02:31:33,04:55:54,08:16:03,Bucz,Mebzm,Klj,Business,728.53,Meal,0,Cancelled,Gs,D,Zfk,11.51,1,Oud,Ued,Hfjq,Kwds,No,Vegetarian,Not Available,False,True,False,1,No,Klm Royal Dutch Airlines,0
5,6582,2023-09-22 00:23:33,2023-08-10 22:17:44,12:21:47,14:25:01,Bgmg,Fqhqs,Ypu,Economy,846.96,Meal,0,Cancelled,Kn,D,Hoo,9.56,1,Xof,Ehh,Cjmo,Elli,No,Vegan,Available,True,True,False,0,No,Jetblue Airways,3
10,2176,2023-10-07 21:46:59,2023-10-17 16:27:58,19:40:58,15:59:47,Bvmx,Oargg,Gka,Business,538.53,Extra Baggage,0,Cancelled,Zc,D,Ojb,3.97,0,Rse,Ymr,Uglq,Rhhi,No,Non-Vegetarian,Not Available,False,False,False,2,Yes,Allegiant Air,4
19,5918,2023-05-04 09:15:06,2023-07-21 08:46:11,05:58:32,06:49:44,Bdpy,Pkeun,Now,Business,875.75,Meal,0,Confirmed,Fl,A,Gwo,11.75,0,Yan,Mzj,Usvt,Mvwg,No,No Meal,Available,True,False,False,0,Yes,Singapore Airlines,4
4,5880,2023-04-22 23:54:20,2023-06-30 14:13:03,01:36:51,13:24:44,Bomj,Wzjex,Dke,First,176.63,No Extras,0,Pending,As,B,Alv,11.36,2,Ysw,Ldp,Yriu,Tsza,Yes,Vegan,Available,False,True,False,2,No,Southwest Airlines,4
19,4220,2023-12-30 21:26:46,2023-07-31 22:48:25,09:34:19,05:33:58,Bjed,Srzdw,Hxe,First,82.78,Extra Baggage,0,Confirmed,Fx,D,Rfz,9.16,0,Yqq,Ogf,Sjxf,Xsbc,No,Vegan,Available,False,True,True,2,No,Singapore Airlines,6
11,8820,2023-09-01 20:30:39,2023-11-12 03:52:33,10:57:22,13:12:47,Bsoi,Iskck,Bff,First,891.18,No Extras,0,Pending,Du,B,Dyi,7.14,2,Yoa,Xuv,Yctv,Vtgi,No,Vegan,Available,True,True,False,2,Yes,Skywest Airlines,5
2,1130,2023-01-30 20:39:03,2023-12-22 23:57:54,07:25:26,16:40:37,Bpdy,Gqwrz,Qen,Economy,161.93,No Extras,0,Pending,Nu,A,Xwn,11.13,2,Klk,Ilv,Ehib,Knvo,No,Non-Vegetarian,Not Available,True,True,True,2,No,Delta Air Lines,5
10,7659,2023-11-27 07:22:56,2023-06-29 07:42:46,17:59:17,11:44:43,Bkqu,Oqzyq,Don,Business,222.0,Meal,0,Pending,Wk,C,Oqx,5.87,2,Mxs,Gzl,Mucb,Rttt,No,Vegan,Available,False,True,False,0,Yes,Allegiant Air,6
11,4562,2023-03-24 16:36:09,2023-11-18 06:24:51,21:12:52,10:36:47,Bail,Xjowp,Lah,First,165.18,Extra Baggage,0,Cancelled,Gf,B,Nab,5.68,0,Aaw,Mkv,Ijag,Ctir,No,Non-Vegetarian,Available,False,True,False,0,No,Skywest Airlines,4
16,2499,2023-11-23 10:31:24,2023-11-05 13:40:06,02:44:22,12:00:56,Bwlj,Ozius,Xrz,Business,212.79,Extra Baggage,4264,Pending,Vs,B,Gzx,5.15,1,Eqa,Udm,Wmyh,Qvjo,No,No Meal,Available,True,True,True,1,No,Klm Royal Dutch Airlines,3
19,8430,2023-09-20 23:51:40,2023-03-03 05:05:56,23:12:27,13:39:08,Biuz,Abfxi,Kny,First,904.14,Meal,705,Confirmed,Sk,B,Qgf,10.07,1,Shb,Ocd,Mpdh,Wkmh,Yes,Non-Vegetarian,Available,False,False,True,2,No,Singapore Airlines,2
11,8705,2023-06-10 19:45:07,2023-07-09 12:38:53,09:45:07,14:18:42,Bytp,Xrajd,Ssd,Business,855.53,Extra Baggage,0,Confirmed,Vn,B,Dji,2.71,1,Fay,Pin,Shxm,Qogc,No,Vegan,Not Available,False,True,True,1,No,Skywest Airlines,0
14,8626,2023-08-27 03:00:35,2023-12-03 13:40:23,04:00:25,09:49:31,Bmcr,Nuzft,Gro,Business,302.24,Meal,0,Pending,Ux,C,Ukg,1.74,2,Bwi,Ywb,Acog,Lazw,No,Vegetarian,Not Available,False,False,True,1,No,Lufthansa,4
2,7679,2023-08-01 23:42:33,2023-05-05 05:53:24,09:28:59,01:35:47,Bdsy,Eoxjc,Jpo,Economy,719.4,Meal,0,Pending,Ml,C,Zvi,4.38,1,Pfj,Dta,Fjpl,Gpdp,Yes,No Meal,Available,True,True,True,0,Yes,Delta Air Lines,3
5,3788,2023-08-25 18:34:39,2023-08-17 01:21:42,09:17:24,06:39:09,Bmml,Qiior,Bid,Business,798.93,No Extras,2145,Confirmed,Mz,C,Qah,11.38,1,Mjh,Rfh,Fxkl,Aqip,No,Non-Vegetarian,Available,False,False,True,1,Yes,Jetblue Airways,2
5,5876,2023-03-01 02:34:00,2023-12-12 09:53:46,19:36:48,14:00:03,Bxab,Chcsv,Gyw,Business,197.14,No Extras,0,Cancelled,Ax,C,Zrs,6.04,0,Tgz,Eni,Rmot,Gbcw,No,Vegan,Not Available,False,True,False,2,Yes,Jetblue Airways,4
19,4708,2023-04-13 12:58:36,2023-02-15 04:22:13,00:04:12,00:49:26,Bcvu,Mvpgz,Uql,Business,266.76,No Extras,0,Confirmed,Lk,C,Dqp,4.38,0,Qpg,Rap,Wsxd,Ducz,No,Vegetarian,Not Available,True,False,True,0,No,Singapore Airlines,6
12,2769,2023-10-11 06:42:29,2023-07-31 05:07:24,02:50:08,12:14:48,Buvm,Tezsb,Yhu,First,503.92,No Extras,0,Cancelled,Sz,C,Ypy,1.59,0,Eul,Ijp,Pbrl,Yrgz,No,No Meal,Not Available,False,False,False,2,Yes,Air Canada,6
18,7731,2023-06-30 02:13:07,2023-06-01 19:37:11,23:22:31,20:18:27,Blpn,Ccbpq,Ixd,Business,654.79,Meal,0,Confirmed,Ep,C,Nya,8.3,2,Kci,Ogv,Axle,Ocmi,No,Vegetarian,Not Available,False,False,True,1,Yes,Emirates,6
4,4044,2023-11-25 16:39:11,2023-08-29 01:52:40,15:26:25,05:23:11,Bxnq,Ppsqx,Bym,Economy,449.75,No Extras,0,Pending,Qc,B,Hfy,6.87,2,Prg,Tto,Hzij,Lzln,Yes,Non-Vegetarian,Not Available,True,False,True,0,Yes,Southwest Airlines,6
17,1375,2023-01-13 16:43:40,2023-06-05 21:04:47,22:58:00,15:49:25,Befj,Elvlz,Ygo,Economy,793.62,No Extras,0,Pending,Lb,D,Jny,9.71,0,Xgv,Sht,Lqzw,Nnoj,Yes,Vegan,Available,False,False,False,1,No,Qantas,4
10,7347,2023-07-16 08:32:16,2023-05-30 02:57:58,23:40:06,11:06:14,Bviz,Ggdfp,Hdz,First,990.79,No Extras,0,Pending,Qt,C,Vod,5.47,2,Jgg,Tdx,Qsjc,Bnia,Yes,Vegetarian,Not Available,True,False,False,2,Yes,Allegiant Air,6
6,4036,2023-06-15 14:37:27,2023-04-23 05:31:11,10:51:09,05:43:01,Bgdw,Hfwsy,Dkq,Business,871.56,Meal,0,Cancelled,Zl,A,Izk,9.17,0,Yic,Cvb,Qhqf,Mndt,Yes,No Meal,Available,True,True,False,1,Yes,Alaska Airlines,7
14,9852,2023-12-22 23:48:26,2023-03-15 21:54:21,15:36:58,12:34:32,Bgkf,Jpbnk,Mij,Economy,858.99,Extra Baggage,0,Cancelled,Ll,B,Ras,2.99,1,Uan,Azq,Gtaf,Heqz,No,No Meal,Not Available,False,False,True,1,No,Lufthansa,2
11,7218,2023-04-22 11:51:52,2023-04-22 05:44:32,06:26:58,01:07:05,Bppx,Xxbyc,Iun,First,241.51,Meal,0,Pending,Xh,D,Ppg,8.79,2,Ysb,Qed,Ltxa,Wjmu,No,No Meal,Available,True,False,True,0,Yes,Skywest Airlines,6
11,1740,2023-05-02 00:03:16,2023-12-25 12:07:54,09:12:40,10:17:05,Bxmz,Zvkdn,Wch,First,909.23,Meal,0,Cancelled,Hh,B,Cpl,3.81,2,Xyk,Pxv,Aede,Zqtj,No,Vegan,Available,True,False,True,0,Yes,Skywest Airlines,4
18,9495,2023-01-03 10:45:40,2023-08-06 13:28:55,21:20:19,13:09:50,Blvb,Eczhj,Ylh,Economy,991.42,No Extras,1498,Pending,Ef,A,Djs,9.98,1,Pbw,Qzb,Dirp,Qtuo,No,Non-Vegetarian,Available,False,False,False,2,Yes,Emirates,0
18,2085,2023-07-30 15:30:33,2023-11-20 20:41:22,12:21:42,19:18:09,Buma,Lzhwg,Efs,Economy,587.51,Meal,0,Cancelled,Lx,A,Cgc,8.01,2,Ymj,Rao,Wkgd,Feow,No,Non-Vegetarian,Available,True,True,False,2,No,Emirates,5
11,2210,2023-05-31 16:46:07,2023-05-09 00:31:44,06:56:46,05:11:18,Bjzj,Bzlvt,Cnn,First,772.1,No Extras,0,Confirmed,Tn,C,Yit,5.94,0,Nzf,Qby,Nfsn,Cxlc,Yes,Vegan,Available,False,False,False,2,Yes,Skywest Airlines,6
12,9420,2023-04-30 12:36:07,2023-10-29 18:31:49,11:05:16,01:45:17,Bkid,Kiefg,Mgi,First,619.33,Extra Baggage,0,Cancelled,Mg,A,Aea,2.42,0,Aaq,Msg,Ssng,Qhgx,No,Vegan,Not Available,False,False,False,1,No,Air Canada,4
5,4119,2023-06-02 08:58:15,2023-09-06 17:39:25,07:07:47,10:03:55,Bqsj,Nroap,Ooy,Economy,992.43,Extra Baggage,0,Confirmed,Hc,C,Oev,3.69,0,Pji,Obv,Ozth,Gttw,Yes,Non-Vegetarian,Available,True,False,True,2,No,Jetblue Airways,4
9,1267,2023-12-05 00:54:44,2023-07-31 01:36:44,21:13:47,23:02:32,Bmbi,Ovigl,Rwh,First,624.43,Meal,0,Cancelled,Sh,A,Xoa,2.79,0,Icx,Cgc,Iypo,Hgmy,No,Non-Vegetarian,Available,False,True,False,1,Yes,Hawaiian Airlines,6
9,3774,2023-04-25 06:02:23,2023-04-08 03:33:27,13:14:48,17:19:08,Bgzj,Ilkcm,Azt,First,500.36,Extra Baggage,0,Cancelled,Qf,A,Nrb,5.14,0,Gev,Vke,Epcy,Xlcc,Yes,Vegan,Not Available,False,True,True,2,Yes,Hawaiian Airlines,6
10,5349,2023-03-01 10:36:51,2023-01-30 02:26:34,22:14:38,18:36:47,Blvt,Evvur,Iiu,Economy,198.06,Extra Baggage,0,Cancelled,Tx,C,Qze,3.54,1,Htz,Xfp,Ofkz,Dtas,No,Vegan,Available,True,False,True,2,Yes,Allegiant Air,2
19,5965,2023-04-15 22:27:49,2023-11-09 12:42:42,04:00:14,19:37:29,Bkdl,Kzcvi,Wvm,Economy,851.77,Meal,0,Cancelled,Nt,C,Gpe,5.37,2,Ukf,Tfe,Yjdn,Unjv,Yes,Vegan,Available,False,False,True,2,Yes,Singapore Airlines,4
1,9125,2023-07-14 01:59:21,2023-08-26 07:56:47,17:57:04,08:45:07,Blwh,Zhxhm,Twc,Economy,242.38,Meal,0,Cancelled,Zl,A,Nsj,11.36,2,Lpp,Bxy,Lyqu,Vjiu,No,No Meal,Available,False,False,True,0,No,American Airline,4
